year,ferrarienzo,ferrarif40,fordgt40,lamborghinilm002,mclarenf1
2012-03-01,959675.4241,467615.3344,2262597.478,66471.83593,2057239.931
2012-04-01,959007.2196,493879.2265,2275320.905,68533.13319,2084367.454
2012-05-01,958339.015,520888.8859,2288044.331,70594.43044,2111494.976
2012-06-01,964105.1942,551549.156,2408580.57,73210.34109,2175476.125
2012-07-01,969871.3734,552448.7304,2529116.808,75826.25174,2243566.97
2012-08-01,975637.5525,553348.3048,2649653.047,78442.16239,2315767.513
2012-09-01,979354.9247,554294.022,2770088.366,81058.07304,2392077.753
2012-10-01,973124.5111,549349.8949,2788773.924,82994.95179,2489225.527
2012-11-01,964845.2906,544451.9106,2807358.563,84931.83055,2590482.998
2012-12-01,954517.263,539600.069,2825842.281,86868.7093,2691740.469
2013-01-01,942140.4284,534794.3703,2844225.08,88805.58806,2792997.94
2013-02-01,936502.8239,538258.2432,2863666.796,91503.10142,2852100.13
2013-03-01,932719.7425,541722.116,2883108.512,94200.61479,2911202.32
2013-04-01,930791.1844,542039.0561,2902550.228,96898.12815,2970304.51
2013-05-01,930717.1496,539209.0634,2921991.943,99595.64151,3029406.7
2013-06-01,929590.5697,554341.0687,2942819.393,101941.8992,3217030.406
2013-07-01,930965.3131,580846.6801,2963646.842,104288.1568,9816782.406
2013-08-01,932986.8563,618725.8977,2984474.291,106634.4145,9941864.876
2013-09-01,935655.1994,614488.7658,3005301.74,108980.6722,10043853.77
2013-10-01,967903.1713,603438.6702,3017184.644,110786.4775,10021678.4
2013-11-01,1000797.943,601207.5566,3029067.549,111320.0644,9976409.453
2013-12-01,1033692.715,593274.8862,3040950.453,110581.4328,9908046.933
2014-01-01,1066587.486,579640.6588,3052833.358,108570.5826,9816590.84
2014-02-01,1071179.259,558522.1633,3173257.054,106783.9425,9741147.869
2014-03-01,1075771.032,583228.2832,3293680.751,103725.0839,9685540.727
2014-04-01,1080362.805,605970.6197,3414104.448,99394.00673,9649769.413
2014-05-01,1084954.578,626749.1729,3534528.145,97490.56987,9633833.928
2014-06-01,1108615.758,671744.4142,3594392.395,97947.19516,9680968.738
2014-07-01,1132276.937,710849.3343,3654256.646,100831.4607,9747939.377
2014-08-01,1155938.116,778485.3089,3714120.896,104059.3521,9814910.016
2014-09-01,1179599.295,830971.8218,3773198.085,107630.8693,9883667.681
2014-10-01,1194575.397,849338.2611,3819865.144,112340.9185,9927880.8
2014-11-01,1208953.827,860884.4567,3865745.141,114966.9532,9973880.946
2014-12-01,1222734.586,865610.4084,3910838.077,115508.9735,10021668.12
2015-01-01,1235917.674,867442.6543,3955143.951,116665.7368,10071242.32
2015-02-01,1252281.09,880567.5281,4010615.55,117962.1368,10127803.02
2015-03-01,1268046.835,931618.6252,4066087.149,120335.8326,10181930.99
2015-04-01,1283812.58,989583.5633,4121558.748,123786.8241,10233626.23
2015-05-01,1299578.325,1040105.895,4177030.346,128315.1114,10282888.73
2015-06-01,1299999.836,1091935.266,4186292.039,137771.0677,10310039.74
2015-07-01,1336911.06,1153040.545,4195553.731,145605.5624,10334758.01
2015-08-01,1395760.442,1187060.821,4204815.424,159010.627,10359476.29
2015-09-01,1476547.982,1192886.103,4214077.116,171602.719,10384194.56
2015-10-01,1682080.305,1199629.328,4262715.872,179001.5124,10401901.07
2015-11-01,1909550.786,1215593.954,4311354.627,185587.3333,10419607.57
2015-12-01,2158882.848,1227879.049,4359993.382,191360.1817,10442209.37
2016-01-01,2338440.581,1232667.031,4408632.137,196320.0575,10469706.47
2016-02-01,2293674.151,1208479.784,4389275.932,194727.0524,10478894.26
2016-03-01,2241935.204,1186792.838,4369919.727,193134.0474,10492977.35
2016-04-01,2183223.74,1167229.409,4352264.345,191541.0423,10511955.74
2016-05-01,2117539.761,1149789.497,4336309.786,189948.0372,10535829.42
2016-06-01,2065643.389,1152916.559,4371448.062,192205.6347,10657146.44
2016-07-01,2061997.274,1158167.139,4408287.161,194463.2321,10778463.46
2016-08-01,2161208.243,1165541.235,4446827.083,196720.8296,10899780.48
2016-09-01,2111302.1,1174528.712,4480927.822,198978.427,11021097.5
2016-10-01,2125575.705,1188302.238,4524995.417,200501.8543,11095502.6
2016-11-01,2155142.31,1197596.137,4562923.006,202025.2815,11169907.7
2016-12-01,2200001.913,1213357.748,4594710.588,203548.7088,11244312.8
2017-01-01,2260154.516,1235587.072,4620358.163,205072.1361,11318717.9
2017-02-01,2217425.859,1229358.963,4565660.734,205870.0392,11365963.43
2017-03-01,2298963.556,1229884.004,4510963.304,211294.4924,11413208.96
2017-04-01,2340357.494,1221197.152,4456265.874,209510.5993,11460454.49
2017-05-01,2341607.675,1203298.408,4401568.444,208183.8355,11507700.02
2017-06-01,2298362.409,1151017.903,4364003.89,208314.9557,11537816.05
2017-07-01,2214973.384,1110605.252,4326439.337,208903.2052,11567932.08
2017-08-01,2131584.36,1080161.639,4288874.783,205322.0339,11598048.1
2017-09-01,2078993.589,1026203.895,4251310.229,197571.4419,11624538.53
2017-10-01,2054331.89,1009682.308,4220216.873,198887.6477,11656331.26
2017-11-01,2038427.199,1005162.174,4189123.517,200203.8536,11684498.39
2017-12-01,2031279.518,1020670.834,4158030.161,201520.0595,11709039.92
2018-01-01,2032888.845,1033281.149,4126936.805,202836.2653,11729955.84
2018-02-01,2056472.963,1012963.226,4124936.327,205312.2206,11762175.64
2018-03-01,2058015.837,1010916.264,4122935.849,207788.1758,11794395.43
2018-04-01,2069775.247,1013682.729,4126089.016,217273.6672,11826615.22
2018-05-01,2091751.195,1021262.619,4134395.828,226302.4849,11858835.01
2018-06-01,2111779.366,1022448.53,4141121.165,233715.0956,11991980.69
2018-07-01,2142024.074,1011320.578,4153000.147,240671.0326,12141589.86
2018-08-01,2182485.319,1029109.936,4170032.774,247170.2958,12307662.52
2018-09-01,2199371.365,1046672.159,4192219.046,253212.8854,12490198.67
2018-10-01,2217600.357,1071971.308,4230532.745,252388.5589,12609309.69
2018-11-01,2222123.483,1097043.321,4268846.444,251564.2325,12744884.21
2018-12-01,2212940.743,1121888.199,4307160.143,250739.9061,12880458.72
2019-01-01,2190052.137,1130404.766,4345473.842,249915.5796,13016033.24
2019-02-01,2135664.352,1115424.585,4349536.211,248460.3478,13123515.21
2019-03-01,2101362.437,1084343.229,4353598.58,247005.116,13230997.18
2019-04-01,2067060.522,1060047.06,4357660.949,245549.8843,13338479.16
2019-05-01,2032758.607,1042536.079,4361723.318,244094.6525,13445961.13
2019-06-01,2020379.41,1041608.899,4407055.246,243804.9692,13595129.33
2019-07-01,2008000.214,1063568.08,4452387.174,243515.286,13744297.54
2019-08-01,1995621.017,1108413.624,4497719.102,243225.6028,13893465.74
2019-09-01,1983241.821,1141346.446,4541893.466,242935.9196,14036791.56
2019-10-01,1953346.937,1143636.8,4542927.239,240766.0922,14138368.89
2019-11-01,1944684.204,1139769.404,4542803.448,239023.3081,14234103.84
2019-12-01,1957253.621,1129744.258,4541522.093,237707.5672,14307839.99
2020-01-01,1991055.188,1113561.363,4539083.175,236818.8694,14359577.35
2020-02-01,2056085.094,1083739.208,4560515.229,237722.6464,14463909.2
2020-03-01,2142347.15,1080085.977,4581947.284,239053.4666,14552084.65
2020-04-01,2228711.185,1102601.67,4603379.339,239225.9799,14624103.69
2020-05-01,2293945.047,1122644.955,4624811.394,237813.1431,14679966.32
2020-06-01,2298419.931,1124289.518,4598111.165,231300.9182,14619794.4
2020-07-01,2274276.212,1123461.672,4571410.936,223203.3432,14559622.49
2020-08-01,2221513.89,1120161.417,4544710.708,217604.4283,14499450.57
2020-09-01,2157874.853,1119570.162,4518010.479,212816.2295,14439278.66
2020-10-01,2126975.619,1131795.311,4517223.23,212631.3191,14416563.8
2020-11-01,2106329.842,1146729.46,4516435.981,214842.475,14393848.93
2020-12-01,2103425.955,1164372.607,4515648.733,219449.697,14371134.07
2021-01-01,2118263.956,1184724.754,4514861.484,226452.9851,14348419.21
2021-02-01,2165459.783,1216258.65,4550672.304,233559.2252,14365492.74
2021-03-01,2212655.61,1247792.546,4586483.125,240665.4653,14382566.28
2021-04-01,2259851.437,1279326.441,4622293.945,247771.7053,14399639.81
2021-05-01,2307047.265,1310860.337,4658104.765,254877.9454,14416713.34
2021-06-01,2336984.53,1303160.979,4651239.621,262583.3616,14387272.16
2021-07-01,2366921.794,1264354.992,4624969.742,268722.4653,14357830.97
2021-08-01,2396859.059,1298278.396,4579295.126,273295.2564,14328389.79
2021-09-01,2436613.289,1322861.874,4533880.777,276301.735,14296537.5
2021-10-01,2564336.233,1431009.897,4602432.269,277348.6462,14340858.83
2021-11-01,2701876.143,1551396.452,4671244.029,276829.2447,14382769.06
2021-12-01,2849233.017,1715128.167,4740316.055,274743.5308,14422268.19
2022-01-01,3006406.856,1922205.042,4829053.083,272657.8168,14459356.22
2022-02-01,3134788.129,2005265.987,4865760.992,270277.6545,14459838.99
2022-03-01,3263169.401,2095430.659,4902468.901,269501.5076,14460321.76
2022-04-01,3374076.067,2180726.604,4939176.81,270329.3761,14460804.53
2022-05-01,3466177.75,2221986.114,5078718.188,274467.5202,14495435.67
2022-06-01,3540804.825,2236798.44,5218259.565,279730.4201,14535511.64
2022-07-01,3597957.293,2225163.581,5357800.943,286118.0755,14581032.41
2022-08-01,3704725.821,2308192.477,5407252.453,293522.74,14636607.88
2022-09-01,3780415.671,2370292.82,5456703.963,300448.1448,14697628.17
2022-10-01,3842501.451,2423437.065,5506155.473,306894.2899,14764093.27
2022-11-01,3659411.021,2369117.504,5452253.24,306332.2707,14803464.44
2022-12-01,3522934.317,2416933.645,5398351.008,305770.2516,14842835.61
2023-01-01,3432890.436,2385124.764,5344448.775,304371.6177,14882206.77
2023-02-01,3446994.542,2361874.179,5331449.385,306562.7218,14863053.57
2023-03-01,3470998.711,2376361.755,5318449.995,307917.2111,14839297.81
2023-04-01,3504902.941,2398554.938,5305450.604,308435.0856,14810939.51
2023-05-01,3626943.498,2413077.311,5327199.34,307518.0895,14804493.62
2023-06-01,3698666.32,2352882.77,5348948.076,305764.4785,14793445.19
2023-07-01,3720252.313,2399732.035,5370696.812,304010.8676,14777794.21
2023-08-01,3687635.738,2432386.371,5400928.05,303043.2412,14777841.94
2023-09-01,3667487.816,2415283.203,5431159.287,302075.6148,14777889.68
2023-10-01,3659808.548,2378455.086,5461390.525,301107.9883,14777937.41
2023-11-01,3645825.042,2342556.366,5439184.133,297661.2812,14720104.34
2023-12-01,3644310.189,2343700.26,5416977.742,294214.5741,14662271.27
2024-01-01,3655263.989,2381886.768,5394771.35,290767.867,14604438.2
2024-02-01,3695446.96,2422637.82,5440384.664,295742.1508,14604030.01
2024-03-01,3730021.255,2492977.41,5501716.178,302300.2417,14603621.82
2024-04-01,3758986.875,2599034.661,5587079.702,310442.1397,14603213.63
2024-05-01,3756060.157,2714079.215,5669842.594,317214.6403,14619794.27
2024-06-01,3707929.63,2623750.185,5776637.497,325570.9479,14640089.7
2024-07-01,3614595.294,2500550.184,5907464.409,334246.7078,14664099.93
2024-08-01,3489903.724,2392074.436,6032088.018,338267.7568,14629412.47
2024-09-01,3363721.287,2298661.71,6139301.108,341024.4509,14598439.8
2024-10-01,3236047.984,2214182.882,6220789.868,342516.7901,14571181.92
2024-11-01,3166287.137,2174381.625,6367611.494,347189.5912,14648719.11
2024-12-01,3134630.556,2285457.805,6488708.791,350598.0374,14726256.29
2025-01-01,3141078.244,2374908.81,6584081.759,354006.4836,14803793.47
2025-02-01,3105474.239,2395445.561,6527201.322,354056.2116,14755495.37
2025-03-01,3069870.234,2402271.447,6470320.885,354105.9396,14707197.26
2025-04-01,3034266.229,2395386.467,6413440.448,354155.6675,14658899.16
